This file provides a binary-file-specific mapping of applicable open source
license terms. This mapping file is still a work in progress and should not be
relied upon at this stage as it is incomplete. Updated versions will be
published as they become available. Contact licensing@qnx.com if you have
questions or require additional information.

Binary Name,Legal ID,Runtime Module
bin/netmanager,BSD1:277,Networking Technology
bin/netmanager,BSD1:298,Networking Technology
bin/netmanager,BSD1:363,Networking Technology
bin/netmanager,BSD2:203,Networking Technology
bin/netmanager,BSD2:237,Networking Technology
bin/netmanager,BSD2:244,Networking Technology
bin/netmanager,BSD2:292,Networking Technology
bin/netmanager,BSD3:42,Networking Technology
bin/netmanager,MPL:13,Networking Technology
bin/netmanager,OO:1104,Networking Technology
bin/netmanager,OO:1436,Networking Technology
bin/netmanager,OO:1448,Networking Technology
bin/netmanager,OO:245,Networking Technology
bin/on,OO:1436,Neutrino Core OS
bin/on,OO:1448,Neutrino Core OS
bin/pax,OO:1430,Neutrino Core OS
bin/pax,OO:1436,Neutrino Core OS
bin/pax,OO:1445,Neutrino Core OS
bin/pax,OO:1448,Neutrino Core OS
bin/pax,OO:1462,Neutrino Core OS
bin/pax,OO:285,Neutrino Core OS
bin/pidin,BSD1:125,Neutrino Core OS
bin/pidin,BSD1:207,Neutrino Core OS
bin/pidin,OO:1436,Neutrino Core OS
bin/pidin,OO:1448,Neutrino Core OS
bin/ps,BSD1:229,Neutrino Core OS
bin/ps,OO:1436,Neutrino Core OS
bin/ps,OO:1448,Neutrino Core OS
bin/pwd,OO:1448,Neutrino Core OS
bin/resource_seed,OO:1448,Neutrino Core OS
bin/rm,OO:1436,Neutrino Core OS
bin/rm,OO:1448,Neutrino Core OS
bin/script,BSD1:229,Neutrino Core OS
bin/script,BSD2:107,Neutrino Core OS
bin/script,BSD2:95,Neutrino Core OS
bin/script,OO:1448,Neutrino Core OS
bin/sendnto,BSD1:125,Neutrino Core OS
bin/sendnto,BSD1:207,Neutrino Core OS
bin/sendnto,BSD1:218,Neutrino Core OS
bin/sendnto,OO:1436,Neutrino Core OS
bin/sendnto,OO:1448,Neutrino Core OS
bin/shutdown,OO:1436,Neutrino Core OS
bin/shutdown,OO:1448,Neutrino Core OS
bin/slay,OO:1436,Neutrino Core OS
bin/slay,OO:1448,Neutrino Core OS
bin/sloginfo,OO:1448,Neutrino Core OS
bin/stty,OO:1436,Neutrino Core OS
bin/stty,OO:1448,Neutrino Core OS
bin/sync,OO:1448,Neutrino Core OS
bin/uesh,OO:1436,Neutrino Core OS
bin/uesh,OO:1448,Neutrino Core OS
bin/umount,OO:1448,Neutrino Core OS
bin/uname,OO:1448,Neutrino Core OS
bin/who,BSD2:107,Neutrino Core OS
bin/who,BSD2:56,Neutrino Core OS
bin/who,OO:1448,Neutrino Core OS
bin/who,OO:1454,Neutrino Core OS
boot/sys/libmod_aps.a,BSD2:274,Adaptive Partitioning
boot/sys/libmod_aps.a,OO:1438,Adaptive Partitioning
boot/sys/libmod_aps.a,OO:1448,Adaptive Partitioning
boot/sys/procnto,BSD2:151,Neutrino Core OS
boot/sys/procnto,BSD2:274,Neutrino Core OS
boot/sys/procnto,OO:1436,Neutrino Core OS
boot/sys/procnto,OO:1438,Neutrino Core OS
boot/sys/procnto,OO:1448,Neutrino Core OS
boot/sys/procnto,OO:1454,Neutrino Core OS
boot/sys/procnto-32,BSD2:151,Neutrino Core OS
boot/sys/procnto-32,BSD2:274,Neutrino Core OS
boot/sys/procnto-32,OO:1436,Neutrino Core OS
boot/sys/procnto-32,OO:1438,Neutrino Core OS
boot/sys/procnto-32,OO:1448,Neutrino Core OS
boot/sys/procnto-32,OO:1454,Neutrino Core OS
boot/sys/procnto-32-instr,BSD2:151,Instrumented Kernel
boot/sys/procnto-32-instr,BSD2:274,Instrumented Kernel
boot/sys/procnto-32-instr,OO:1436,Instrumented Kernel
boot/sys/procnto-32-instr,OO:1438,Instrumented Kernel
boot/sys/procnto-32-instr,OO:1448,Instrumented Kernel
boot/sys/procnto-32-instr,OO:1454,Instrumented Kernel
boot/sys/procnto-400,BSD2:151,Neutrino Core OS
boot/sys/procnto-400,BSD2:274,Neutrino Core OS
boot/sys/procnto-400,OO:1436,Neutrino Core OS
boot/sys/procnto-400,OO:1438,Neutrino Core OS
boot/sys/procnto-400,OO:1448,Neutrino Core OS
boot/sys/procnto-400,OO:1454,Neutrino Core OS
boot/sys/procnto-400-instr,BSD2:151,Instrumented Kernel
boot/sys/procnto-400-instr,BSD2:274,Instrumented Kernel
boot/sys/procnto-400-instr,OO:1436,Instrumented Kernel
boot/sys/procnto-400-instr,OO:1438,Instrumented Kernel
boot/sys/procnto-400-instr,OO:1448,Instrumented Kernel
boot/sys/procnto-400-instr,OO:1454,Instrumented Kernel
boot/sys/procnto-600,BSD2:151,Neutrino Core OS
boot/sys/procnto-600,BSD2:274,Neutrino Core OS
boot/sys/procnto-600,OO:1436,Neutrino Core OS
boot/sys/procnto-600,OO:1438,Neutrino Core OS
boot/sys/procnto-600,OO:1448,Neutrino Core OS
boot/sys/procnto-600,OO:1454,Neutrino Core OS
boot/sys/procnto-600-instr,BSD2:151,Instrumented Kernel
boot/sys/procnto-600-instr,BSD2:274,Instrumented Kernel
boot/sys/procnto-600-instr,OO:1436,Instrumented Kernel
boot/sys/procnto-600-instr,OO:1438,Instrumented Kernel
boot/sys/procnto-600-instr,OO:1448,Instrumented Kernel
boot/sys/procnto-600-instr,OO:1454,Instrumented Kernel
boot/sys/procnto-600-smp,BSD2:151,Multi-Core Technology
boot/sys/procnto-600-smp,BSD2:274,Multi-Core Technology
boot/sys/procnto-600-smp,OO:1436,Multi-Core Technology
boot/sys/procnto-600-smp,OO:1438,Multi-Core Technology
boot/sys/procnto-600-smp,OO:1448,Multi-Core Technology
boot/sys/procnto-600-smp,OO:1454,Multi-Core Technology
boot/sys/procnto-600-smp-instr,BSD2:151,Multi-Core Technology
boot/sys/procnto-600-smp-instr,BSD2:274,Multi-Core Technology
boot/sys/procnto-600-smp-instr,OO:1436,Multi-Core Technology
boot/sys/procnto-600-smp-instr,OO:1438,Multi-Core Technology
boot/sys/procnto-600-smp-instr,OO:1448,Multi-Core Technology
boot/sys/procnto-600-smp-instr,OO:1454,Multi-Core Technology
boot/sys/procnto-800,BSD2:151,Neutrino Core OS
boot/sys/procnto-800,BSD2:274,Neutrino Core OS
boot/sys/procnto-800,OO:1436,Neutrino Core OS
boot/sys/procnto-800,OO:1438,Neutrino Core OS
boot/sys/procnto-800,OO:1448,Neutrino Core OS
boot/sys/procnto-800,OO:1454,Neutrino Core OS
boot/sys/procnto-800-instr,BSD2:151,Instrumented Kernel
boot/sys/procnto-800-instr,BSD2:274,Instrumented Kernel
boot/sys/procnto-800-instr,OO:1436,Instrumented Kernel
boot/sys/procnto-800-instr,OO:1438,Instrumented Kernel
boot/sys/procnto-800-instr,OO:1448,Instrumented Kernel
boot/sys/procnto-800-instr,OO:1454,Instrumented Kernel
boot/sys/procnto-booke,BSD2:151,Neutrino Core OS
boot/sys/procnto-booke,BSD2:274,Neutrino Core OS
boot/sys/procnto-booke,OO:1436,Neutrino Core OS
boot/sys/procnto-booke,OO:1438,Neutrino Core OS
boot/sys/procnto-booke,OO:1448,Neutrino Core OS
boot/sys/procnto-booke,OO:1454,Neutrino Core OS
boot/sys/procnto-booke-instr,BSD2:151,Instrumented Kernel
boot/sys/procnto-booke-instr,BSD2:274,Instrumented Kernel
boot/sys/procnto-booke-instr,OO:1436,Instrumented Kernel
boot/sys/procnto-booke-instr,OO:1438,Instrumented Kernel
boot/sys/procnto-booke-instr,OO:1448,Instrumented Kernel
boot/sys/procnto-booke-instr,OO:1454,Instrumented Kernel
boot/sys/procnto-booke-smp,BSD2:151,Multi-Core Technology
boot/sys/procnto-booke-smp,BSD2:274,Multi-Core Technology
boot/sys/procnto-booke-smp,OO:1436,Multi-Core Technology
boot/sys/procnto-booke-smp,OO:1438,Multi-Core Technology
boot/sys/procnto-booke-smp,OO:1448,Multi-Core Technology
boot/sys/procnto-booke-smp,OO:1454,Multi-Core Technology
boot/sys/procnto-booke-smp-instr,BSD2:151,Multi-Core Technology
boot/sys/procnto-booke-smp-instr,BSD2:274,Multi-Core Technology
boot/sys/procnto-booke-smp-instr,OO:1436,Multi-Core Technology
boot/sys/procnto-booke-smp-instr,OO:1438,Multi-Core Technology
boot/sys/procnto-booke-smp-instr,OO:1448,Multi-Core Technology
boot/sys/procnto-booke-smp-instr,OO:1454,Multi-Core Technology
boot/sys/procnto-instr,BSD2:151,Instrumented Kernel
boot/sys/procnto-instr,BSD2:151,Neutrino Core OS
boot/sys/procnto-instr,BSD2:274,Instrumented Kernel
boot/sys/procnto-instr,BSD2:274,Neutrino Core OS
boot/sys/procnto-instr,OO:1436,Instrumented Kernel
boot/sys/procnto-instr,OO:1436,Neutrino Core OS
boot/sys/procnto-instr,OO:1438,Instrumented Kernel
boot/sys/procnto-instr,OO:1438,Neutrino Core OS
boot/sys/procnto-instr,OO:1448,Instrumented Kernel
boot/sys/procnto-instr,OO:1448,Neutrino Core OS
boot/sys/procnto-instr,OO:1454,Instrumented Kernel
boot/sys/procnto-instr,OO:1454,Neutrino Core OS
boot/sys/procnto-smp,BSD2:151,Multi-Core Technology
boot/sys/procnto-smp,BSD2:274,Multi-Core Technology
boot/sys/procnto-smp,OO:1436,Multi-Core Technology
boot/sys/procnto-smp,OO:1438,Multi-Core Technology
boot/sys/procnto-smp,OO:1448,Multi-Core Technology
boot/sys/procnto-smp,OO:1454,Multi-Core Technology
boot/sys/procnto-smp-instr,BSD2:151,Multi-Core Technology
boot/sys/procnto-smp-instr,BSD2:274,Multi-Core Technology
boot/sys/procnto-smp-instr,OO:1436,Multi-Core Technology
boot/sys/procnto-smp-instr,OO:1438,Multi-Core Technology
boot/sys/procnto-smp-instr,OO:1448,Multi-Core Technology
boot/sys/procnto-smp-instr,OO:1454,Multi-Core Technology
boot/sys/procnto-v6,BSD2:151,Neutrino Core OS
boot/sys/procnto-v6,BSD2:274,Neutrino Core OS
boot/sys/procnto-v6,OO:1436,Neutrino Core OS
boot/sys/procnto-v6,OO:1438,Neutrino Core OS
boot/sys/procnto-v6,OO:1448,Neutrino Core OS
boot/sys/procnto-v6,OO:1454,Neutrino Core OS
boot/sys/procnto-v6-instr,BSD2:151,Instrumented Kernel
boot/sys/procnto-v6-instr,BSD2:274,Instrumented Kernel
boot/sys/procnto-v6-instr,OO:1436,Instrumented Kernel
boot/sys/procnto-v6-instr,OO:1438,Instrumented Kernel
boot/sys/procnto-v6-instr,OO:1448,Instrumented Kernel
boot/sys/procnto-v6-instr,OO:1454,Instrumented Kernel
boot/sys/procnto-v6-smp,BSD2:151,Multi-Core Technology
boot/sys/procnto-v6-smp,BSD2:274,Multi-Core Technology
boot/sys/procnto-v6-smp,OO:1436,Multi-Core Technology
boot/sys/procnto-v6-smp,OO:1438,Multi-Core Technology
boot/sys/procnto-v6-smp,OO:1448,Multi-Core Technology
boot/sys/procnto-v6-smp,OO:1454,Multi-Core Technology
boot/sys/procnto-v6-smp-instr,BSD2:151,Multi-Core Technology
boot/sys/procnto-v6-smp-instr,BSD2:274,Multi-Core Technology
boot/sys/procnto-v6-smp-instr,OO:1436,Multi-Core Technology
boot/sys/procnto-v6-smp-instr,OO:1438,Multi-Core Technology
boot/sys/procnto-v6-smp-instr,OO:1448,Multi-Core Technology
boot/sys/procnto-v6-smp-instr,OO:1454,Multi-Core Technology
lib/dll/cam-cdrom.so,OO:1448,Neutrino Core OS
lib/dll/cam-disk.so,OO:1448,Neutrino Core OS
lib/dll/cam-optical.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-4dwave.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-4dwave.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-4dwave.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-audiopci.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-audiopci.so,BSD2:55,Neutrino Core OS
lib/dll/deva-ctrl-audiopci.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-audiopci.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-cs4281.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-cs4281.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-cs4281.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-ess1938.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-ess1938.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-ess1938.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-geode.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-geode.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-geode.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-i8x0.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-i8x0.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-i8x0.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-intel_hda.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-intel_hda.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-intel_hda.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-nmg6.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-nmg6.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-nmg6.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-sb.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-sb.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-sb.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-sis.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-sis.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-sis.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-via686.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-via686.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-via686.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-via8233.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-via8233.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-via8233.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-vortex.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-vortex.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-vortex.so,OO:1448,Neutrino Core OS
lib/dll/deva-ctrl-ymfds1.so,BSD1:229,Neutrino Core OS
lib/dll/deva-ctrl-ymfds1.so,OO:1436,Neutrino Core OS
lib/dll/deva-ctrl-ymfds1.so,OO:1448,Neutrino Core OS
lib/dll/deva-mixer-ac97.so,BSD1:229,Neutrino Core OS
lib/dll/deva-mixer-ac97.so,OO:1436,Neutrino Core OS
lib/dll/deva-mixer-ac97.so,OO:1448,Neutrino Core OS
lib/dll/deva-mixer-ak4531.so,BSD1:229,Neutrino Core OS
lib/dll/deva-mixer-ak4531.so,OO:1436,Neutrino Core OS
lib/dll/deva-mixer-ak4531.so,OO:1448,Neutrino Core OS
lib/dll/deva-mixer-hda.so,BSD1:229,Neutrino Core OS
lib/dll/deva-mixer-hda.so,OO:1436,Neutrino Core OS
lib/dll/deva-mixer-hda.so,OO:1448,Neutrino Core OS
lib/dll/deva-util-restore.so,BSD1:229,Neutrino Core OS
lib/dll/deva-util-restore.so,OO:1436,Neutrino Core OS
lib/dll/deva-util-restore.so,OO:1448,Neutrino Core OS
lib/dll/deva-util-restore.so,OO:45,Neutrino Core OS
lib/dll/devg-ati_rage128.so,OO:1448,Core Graphics
lib/dll/devg-carmine.so,OO:1436,Core Graphics
lib/dll/devg-carmine.so,OO:1448,Core Graphics
lib/dll/devg-chips.so,OO:1448,Core Graphics
lib/dll/devg-coral.so,OO:1436,Core Graphics
lib/dll/devg-coral.so,OO:1448,Core Graphics
lib/dll/devg-extreme2.so,OO:1436,Core Graphics
lib/dll/devg-extreme2.so,OO:1448,Core Graphics
lib/dll/devg-flat.so,OO:1448,Core Graphics
lib/dll/devg-geode.so,OO:1448,Core Graphics
lib/dll/devg-gma9xx.so,OO:1436,Core Graphics
lib/dll/devg-gma9xx.so,OO:1448,Core Graphics
lib/dll/devg-i810.so,OO:1448,Core Graphics
lib/dll/devg-i830.so,MITS:15,Core Graphics
lib/dll/devg-i830.so,MITS:20,Core Graphics
lib/dll/devg-i830.so,OO:1436,Core Graphics
lib/dll/devg-i830.so,OO:1448,Core Graphics
lib/dll/devg-intelhd.so,OO:1448,
lib/dll/devg-lx800.so,MITS:9,Core Graphics
lib/dll/devg-lx800.so,OO:1436,Core Graphics
lib/dll/devg-lx800.so,OO:1448,Core Graphics
lib/dll/devg-matroxg.so,OO:1448,Core Graphics
lib/dll/devg-poulsbo.so,OO:1436,Core Graphics
lib/dll/devg-poulsbo.so,OO:1448,Core Graphics
lib/dll/devg-radeon.so,OO:1448,Core Graphics
lib/dll/devg-rage.so,OO:1448,Core Graphics
lib/dll/devg-s3_savage.so,OO:1448,Core Graphics
lib/dll/devg-sis630.so,OO:1448,Core Graphics
lib/dll/devg-smi5xx.so,OO:1448,Core Graphics
lib/dll/devg-smi7xx.so,OO:1448,Core Graphics
lib/dll/devg-soft3d-fixed.so,OO:1448,Core Graphics
lib/dll/devg-soft3d.so,OO:1448,Core Graphics
lib/dll/devg-stats.so,OO:1448,Core Graphics
lib/dll/devg-svga.so,OO:1448,Core Graphics
lib/dll/devg-tnt.so,OO:1440,Core Graphics
lib/dll/devg-tnt.so,OO:1448,Core Graphics
lib/dll/devg-tvia.so,OO:1448,Core Graphics
lib/dll/devg-unichrome.so,OO:1448,Core Graphics
lib/dll/devg-vesabios.so,OO:1448,Core Graphics
lib/dll/devg-vmware.so,MITS:19,Core Graphics
lib/dll/devg-vmware.so,OO:1448,Core Graphics
lib/dll/devh-egalax.so,OO:1436,Neutrino Core OS
lib/dll/devh-egalax.so,OO:1448,Neutrino Core OS
lib/dll/devh-microtouch.so,OO:1436,
lib/dll/devh-microtouch.so,OO:1448,
lib/dll/devh-ps2ser.so,BSD1:125,Neutrino Core OS
lib/dll/devh-ps2ser.so,BSD1:207,Neutrino Core OS
lib/dll/devh-ps2ser.so,BSD1:218,Neutrino Core OS
lib/dll/devh-ps2ser.so,OO:1436,Neutrino Core OS
lib/dll/devh-ps2ser.so,OO:1448,Neutrino Core OS
lib/dll/devh-touchintl.so,OO:1436,Neutrino Core OS
lib/dll/devh-touchintl.so,OO:1448,Neutrino Core OS
lib/dll/devh-usb.so,OO:1436,Neutrino Core OS
lib/dll/devh-usb.so,OO:1448,Neutrino Core OS
lib/dll/devn-asix.so,BSD1:125,Networking Technology
lib/dll/devn-asix.so,BSD1:207,Networking Technology
lib/dll/devn-asix.so,BSD1:247,Networking Technology
lib/dll/devn-asix.so,BSD1:257,Networking Technology
lib/dll/devn-asix.so,BSD1:270,Networking Technology
lib/dll/devn-asix.so,BSD1:273,Networking Technology
lib/dll/devn-asix.so,BSD1:277,Networking Technology
lib/dll/devn-asix.so,BSD1:298,Networking Technology
lib/dll/devn-asix.so,BSD2:237,Networking Technology
lib/dll/devn-asix.so,BSD2:243,Networking Technology
lib/dll/devn-asix.so,BSD3:42,Networking Technology
lib/dll/devn-asix.so,OO:1436,Networking Technology
lib/dll/devn-asix.so,OO:1448,Networking Technology
lib/dll/devn-crys8900.so,BSD1:125,Networking Technology
lib/dll/devn-crys8900.so,BSD1:207,Networking Technology
lib/dll/devn-crys8900.so,BSD1:247,Networking Technology
lib/dll/devn-crys8900.so,BSD1:257,Networking Technology
lib/dll/devn-crys8900.so,BSD1:270,Networking Technology
lib/dll/devn-crys8900.so,BSD1:273,Networking Technology
lib/dll/devn-crys8900.so,BSD1:277,Networking Technology
lib/dll/devn-crys8900.so,BSD1:298,Networking Technology
lib/dll/devn-crys8900.so,BSD2:237,Networking Technology
lib/dll/devn-crys8900.so,BSD3:42,Networking Technology
lib/dll/devn-crys8900.so,OO:1436,Networking Technology
lib/dll/devn-crys8900.so,OO:1448,Networking Technology
lib/dll/devn-dm9102.so,BSD1:125,Networking Technology
lib/dll/devn-dm9102.so,BSD1:207,Networking Technology
lib/dll/devn-dm9102.so,BSD1:247,Networking Technology
lib/dll/devn-dm9102.so,BSD1:257,Networking Technology
lib/dll/devn-dm9102.so,BSD1:270,Networking Technology
lib/dll/devn-dm9102.so,BSD1:273,Networking Technology
lib/dll/devn-dm9102.so,BSD1:277,Networking Technology
lib/dll/devn-dm9102.so,BSD1:298,Networking Technology
lib/dll/devn-dm9102.so,BSD2:237,Networking Technology
lib/dll/devn-dm9102.so,BSD3:42,Networking Technology
lib/dll/devn-dm9102.so,OO:1436,Networking Technology
lib/dll/devn-dm9102.so,OO:1448,Networking Technology
lib/dll/devn-el509.so,BSD1:125,Networking Technology
lib/dll/devn-el509.so,BSD1:207,Networking Technology
lib/dll/devn-el509.so,BSD1:247,Networking Technology
lib/dll/devn-el509.so,BSD1:257,Networking Technology
lib/dll/devn-el509.so,BSD1:270,Networking Technology
lib/dll/devn-el509.so,BSD1:273,Networking Technology
lib/dll/devn-el509.so,BSD1:277,Networking Technology
lib/dll/devn-el509.so,BSD1:298,Networking Technology
lib/dll/devn-el509.so,BSD2:101,Networking Technology
lib/dll/devn-el509.so,BSD2:237,Networking Technology
lib/dll/devn-el509.so,BSD3:42,Networking Technology
lib/dll/devn-el509.so,OO:1436,Networking Technology
lib/dll/devn-el509.so,OO:1448,Networking Technology
lib/dll/devn-el900.so,BSD1:125,Networking Technology
lib/dll/devn-el900.so,BSD1:207,Networking Technology
lib/dll/devn-el900.so,BSD1:229,Networking Technology
lib/dll/devn-el900.so,BSD1:247,Networking Technology
lib/dll/devn-el900.so,BSD1:248,Networking Technology
lib/dll/devn-el900.so,BSD1:257,Networking Technology
lib/dll/devn-el900.so,BSD1:270,Networking Technology
lib/dll/devn-el900.so,BSD1:273,Networking Technology
lib/dll/devn-el900.so,BSD1:277,Networking Technology
lib/dll/devn-el900.so,BSD1:298,Networking Technology
lib/dll/devn-el900.so,BSD1:58,Networking Technology
lib/dll/devn-el900.so,BSD2:101,Networking Technology
lib/dll/devn-el900.so,BSD2:176,Networking Technology
lib/dll/devn-el900.so,BSD2:180,Networking Technology
lib/dll/devn-el900.so,BSD2:237,Networking Technology
lib/dll/devn-el900.so,BSD3:42,Networking Technology
lib/dll/devn-el900.so,OO:1436,Networking Technology
lib/dll/devn-el900.so,OO:1448,Networking Technology
lib/dll/devn-epic.so,BSD1:125,Networking Technology
lib/dll/devn-epic.so,BSD1:207,Networking Technology
lib/dll/devn-epic.so,BSD1:247,Networking Technology
lib/dll/devn-epic.so,BSD1:257,Networking Technology
lib/dll/devn-epic.so,BSD1:270,Networking Technology
lib/dll/devn-epic.so,BSD1:273,Networking Technology
lib/dll/devn-epic.so,BSD1:277,Networking Technology
lib/dll/devn-epic.so,BSD1:298,Networking Technology
lib/dll/devn-epic.so,BSD2:237,Networking Technology
lib/dll/devn-epic.so,BSD3:42,Networking Technology
lib/dll/devn-epic.so,OO:1436,Networking Technology
lib/dll/devn-epic.so,OO:1448,Networking Technology
lib/dll/devn-fd.so,BSD1:125,Networking Technology
lib/dll/devn-fd.so,BSD1:207,Networking Technology
lib/dll/devn-fd.so,BSD1:247,Networking Technology
lib/dll/devn-fd.so,BSD1:257,Networking Technology
lib/dll/devn-fd.so,BSD1:270,Networking Technology
lib/dll/devn-fd.so,BSD1:273,Networking Technology
lib/dll/devn-fd.so,BSD1:277,Networking Technology
lib/dll/devn-fd.so,BSD1:298,Networking Technology
lib/dll/devn-fd.so,BSD2:237,Networking Technology
lib/dll/devn-fd.so,BSD3:42,Networking Technology
lib/dll/devn-fd.so,OO:1436,Networking Technology
lib/dll/devn-fd.so,OO:1448,Networking Technology
lib/dll/devn-i82544.so,BSD1:125,Networking Technology
lib/dll/devn-i82544.so,BSD1:207,Networking Technology
lib/dll/devn-i82544.so,BSD1:218,Networking Technology
lib/dll/devn-i82544.so,BSD1:229,Networking Technology
lib/dll/devn-i82544.so,BSD1:247,Networking Technology
lib/dll/devn-i82544.so,BSD1:248,Networking Technology
lib/dll/devn-i82544.so,BSD1:257,Networking Technology
lib/dll/devn-i82544.so,BSD1:270,Networking Technology
lib/dll/devn-i82544.so,BSD1:273,Networking Technology
